"freq"	"ch 1"
1206.0	-156.64
1207.0	-149.1
1208.0	-148.18
1209.0	-150.47
1210.0	-158.99
1211.0	-153.66
1212.0	-148.95
1213.0	-148.46
1214.0	-148.48
1215.0	-151.06
1216.0	-157.92
1217.0	-159.47
1218.0	-150.41
1219.0	-147.66
1220.0	-151.92
1221.0	-165.41
1222.0	-150.72
1223.0	-149.29
1224.0	-157.31
1225.0	-153.07
1226.0	-155.9
1227.0	-155.53
1228.0	-154.3
1229.0	-149.05
1230.0	-149.47
1231.0	-155.12
1232.0	-183.44
1233.0	-152.7
1234.0	-149.63
1235.0	-162.49
1236.0	-145.89
1237.0	-151.75
1238.0	-155.85
1239.0	-152.58
1240.0	-157.85
1241.0	-152.94
1242.0	-165.96
1243.0	-156.49
1244.0	-154.13
1245.0	-150.48
1246.0	-153.83
1247.0	-155.5
1248.0	-154.76
1249.0	-151.2
1250.0	-148.96
1251.0	-149.88
1252.0	-154.24
1253.0	-154.34
1254.0	-153.25
1255.0	-149.62
1256.0	-155.6
1257.0	-150.13
1258.0	-150.92
1259.0	-149.09
1260.0	-150.2
1261.0	-151.61
1262.0	-148.44
1263.0	-151.56
1264.0	-157.29
1265.0	-155.86
1266.0	-159.83
1267.0	-152.27
1268.0	-158.18
1269.0	-158.97
1270.0	-166.09
1271.0	-152.84
1272.0	-148.49
1273.0	-146.95
1274.0	-153.13
1275.0	-165.56
1276.0	-164.12
1277.0	-153.14
1278.0	-152.41
1279.0	-157.97
1280.0	-163.39
1281.0	-150.5
1282.0	-149.11
1283.0	-163.94
1284.0	-151.94
1285.0	-147.49
1286.0	-144.68
1287.0	-146.06
1288.0	-155.96
1289.0	-159.46
1290.0	-156.03
1291.0	-148.35
1292.0	-144.72
1293.0	-145.94
1294.0	-148.91
1295.0	-158.02
1296.0	-152.66
1297.0	-149.69
1298.0	-149.28
1299.0	-158.36
1300.0	-151.51
1301.0	-149.76
1302.0	-155.6
1303.0	-156.65
1304.0	-153.46
1305.0	-151.54
1306.0	-153.37
1307.0	-148.45
1308.0	-159.87
1309.0	-157.65
1310.0	-156.04
1311.0	-153.07
1312.0	-155.42
1313.0	-162.36
1314.0	-150.82
1315.0	-157.62
1316.0	-151.86
1317.0	-147.34
1318.0	-150.34
1319.0	-153.82
1320.0	-151.5
1321.0	-151.07
1322.0	-153.51
1323.0	-151.52
1324.0	-148.4
1325.0	-150.7
1326.0	-148.89
1327.0	-152.82
1328.0	-157.91
1329.0	-149.47
1330.0	-151.64
1331.0	-164.99
1332.0	-177.63
1333.0	-158.12
1334.0	-162.42
1335.0	-159.55
1336.0	-156.17
1337.0	-155.82
1338.0	-163.87
1339.0	-158.64
1340.0	-150.31
1341.0	-150.94
1342.0	-150.5
1343.0	-167.31
1344.0	-153.25
1345.0	-161.31
1346.0	-150.12
